index,City,Date,Card Type,Exp Type,Gender,Amount
24190,"Lucknow, India",25-May-15,Platinum,Entertainment,M,246443
25433,"Chennai, India",25-May-15,Signature,Travel,M,256482
25741,"Kanpur, India",25-May-15,Gold,Travel,F,212099
26003,"Surat, India",25-May-15,Platinum,Travel,F,141306
713,"Delhi, India",24-May-15,Platinum,Food,F,162487
778,"Bengaluru, India",24-May-15,Silver,Bills,F,106831
1164,"Ahmedabad, India",24-May-15,Silver,Grocery,F,208168
1765,"Delhi, India",24-May-15,Silver,Bills,M,218802
2178,"Bengaluru, India",24-May-15,Gold,Fuel,M,46310
2927,"Delhi, India",24-May-15,Platinum,Grocery,M,286018
3531,"Delhi, India",24-May-15,Platinum,Entertainment,M,58311
4343,"Ahmedabad, India",24-May-15,Silver,Entertainment,M,163978
4688,"Bengaluru, India",24-May-15,Gold,Grocery,F,193919
4991,"Greater Mumbai, India",24-May-15,Signature,Entertainment,F,162669
5480,"Bengaluru, India",24-May-15,Platinum,Entertainment,F,35372
5788,"Bengaluru, India",24-May-15,Gold,Fuel,M,30995
7172,"Greater Mumbai, India",24-May-15,Signature,Bills,F,94113
7236,"Bengaluru, India",24-May-15,Gold,Fuel,M,70258
8231,"Ahmedabad, India",24-May-15,Silver,Food,M,296303
8457,"Greater Mumbai, India",24-May-15,Silver,Entertainment,F,96896
8927,"Ahmedabad, India",24-May-15,Platinum,Grocery,F,116490
9185,"Delhi, India",24-May-15,Silver,Food,F,237371
9613,"Delhi, India",24-May-15,Silver,Entertainment,F,165733
9838,"Bengaluru, India",24-May-15,Signature,Food,M,184636
9880,"Greater Mumbai, India",24-May-15,Platinum,Food,M,143510
10639,"Delhi, India",24-May-15,Platinum,Food,M,74638
11454,"Delhi, India",24-May-15,Signature,Bills,M,247864
11660,"Greater Mumbai, India",24-May-15,Signature,Grocery,M,131287
11905,"Bengaluru, India",24-May-15,Silver,Entertainment,F,247546
12673,"Ahmedabad, India",24-May-15,Gold,Entertainment,M,143059
13109,"Greater Mumbai, India",24-May-15,Signature,Grocery,M,222564
14819,"Jhargram, India",24-May-15,Signature,Food,F,212463
15426,"Faridkot, India",24-May-15,Silver,Fuel,M,48826
15546,"Shegaon, India",24-May-15,Platinum,Entertainment,M,221880
16101,"Etawah, India",24-May-15,Platinum,Fuel,F,93385
16950,"Udaipurwati, India",24-May-15,Silver,Food,M,1399
17179,"Madhubani, India",24-May-15,Platinum,Food,F,149442
18159,"Chilakaluripet, India",24-May-15,Silver,Bills,M,261533
18268,"Sonipat, India",24-May-15,Platinum,Bills,F,30214
18876,"Sagar, India",24-May-15,Signature,Fuel,M,58557
18976,"Jammu, India",24-May-15,Signature,Grocery,F,91841
19443,"Rajahmundry, India",24-May-15,Platinum,Grocery,M,143352
19451,"Hajipur, India",24-May-15,Gold,Entertainment,F,195848
20825,"Hyderabad, India",24-May-15,Signature,Food,M,135262
21344,"Kolkata, India",24-May-15,Silver,Entertainment,M,232395
22682,"Kolkata, India",24-May-15,Platinum,Entertainment,M,132263
23167,"Lucknow, India",24-May-15,Gold,Food,M,157035
23527,"Jaipur, India",24-May-15,Gold,Food,F,250851
23664,"Hyderabad, India",24-May-15,Silver,Food,F,240147
23908,"Surat, India",24-May-15,Gold,Grocery,M,100687
24552,"Pune, India",24-May-15,Signature,Food,M,216708
25429,"Chennai, India",24-May-15,Platinum,Travel,M,51696
322,"Greater Mumbai, India",23-May-15,Signature,Bills,F,489043
846,"Bengaluru, India",23-May-15,Silver,Food,F,233112
1440,"Bengaluru, India",23-May-15,Platinum,Food,F,43454
1709,"Delhi, India",23-May-15,Gold,Grocery,F,72984
1879,"Delhi, India",23-May-15,Silver,Fuel,M,59169
2755,"Bengaluru, India",23-May-15,Signature,Entertainment,F,211778
2968,"Ahmedabad, India",23-May-15,Gold,Bills,F,171642
4143,"Delhi, India",23-May-15,Gold,Bills,M,81082
4178,"Greater Mumbai, India",23-May-15,Platinum,Food,F,149391
4546,"Delhi, India",23-May-15,Silver,Fuel,F,180461
6634,"Delhi, India",23-May-15,Signature,Bills,M,41452
8460,"Delhi, India",23-May-15,Signature,Bills,F,37388
8525,"Delhi, India",23-May-15,Silver,Grocery,M,252810
8827,"Bengaluru, India",23-May-15,Gold,Entertainment,M,256803
8873,"Greater Mumbai, India",23-May-15,Platinum,Grocery,M,144236
9271,"Delhi, India",23-May-15,Gold,Bills,M,130793
9305,"Ahmedabad, India",23-May-15,Signature,Fuel,F,26767
9540,"Ahmedabad, India",23-May-15,Signature,Fuel,F,190920
10077,"Greater Mumbai, India",23-May-15,Signature,Food,M,127268
10093,"Bengaluru, India",23-May-15,Gold,Entertainment,M,89921
10259,"Greater Mumbai, India",23-May-15,Platinum,Grocery,F,20841
10300,"Ahmedabad, India",23-May-15,Gold,Bills,F,80501
10659,"Greater Mumbai, India",23-May-15,Signature,Bills,M,19941
10676,"Ahmedabad, India",23-May-15,Platinum,Food,M,41726
10822,"Bengaluru, India",23-May-15,Signature,Fuel,F,169283
11428,"Delhi, India",23-May-15,Silver,Entertainment,F,149235
12085,"Delhi, India",23-May-15,Silver,Fuel,M,67047
13358,"Delhi, India",23-May-15,Signature,Grocery,F,215556
13626,"Ahmedabad, India",23-May-15,Gold,Bills,M,222342
14173,"Thakurdwara, India",23-May-15,Silver,Bills,F,256786
15030,"Satara, India",23-May-15,Platinum,Food,M,286724
15511,"Bongaigaon City, India",23-May-15,Platinum,Food,F,4363
16090,"Nagari, India",23-May-15,Signature,Fuel,F,178619
16158,"Jorhat, India",23-May-15,Gold,Food,M,102651
16505,"Mahemdabad, India",23-May-15,Gold,Grocery,M,158439
17227,"Silchar, India",23-May-15,Platinum,Food,F,67095
17626,"Gooty, India",23-May-15,Silver,Entertainment,M,85512
17721,"Baramula, India",23-May-15,Gold,Food,F,227054
19181,"Udgir, India",23-May-15,Silver,Food,M,281998
19220,"Navsari, India",23-May-15,Silver,Entertainment,F,161912
19436,"Vadakkuvalliyur, India",23-May-15,Gold,Food,M,36133
19669,"Mandla, India",23-May-15,Silver,Bills,M,144355
22916,"Hyderabad, India",23-May-15,Platinum,Bills,M,3516
23318,"Jaipur, India",23-May-15,Gold,Food,M,35565
25146,"Pune, India",23-May-15,Gold,Food,M,212765
25543,"Chennai, India",23-May-15,Platinum,Travel,F,173365
125,"Bengaluru, India",22-May-15,Platinum,Bills,F,500852
719,"Delhi, India",22-May-15,Platinum,Food,F,127526
1460,"Greater Mumbai, India",22-May-15,Silver,Food,F,198735
1643,"Delhi, India",22-May-15,Gold,Entertainment,M,298651
2030,"Greater Mumbai, India",22-May-15,Signature,Fuel,M,94093
2043,"Bengaluru, India",22-May-15,Gold,Fuel,M,182205
2256,"Ahmedabad, India",22-May-15,Gold,Fuel,M,179707
2435,"Ahmedabad, India",22-May-15,Signature,Fuel,M,41313
3471,"Greater Mumbai, India",22-May-15,Gold,Bills,M,249677
4475,"Ahmedabad, India",22-May-15,Platinum,Fuel,M,133372
6384,"Greater Mumbai, India",22-May-15,Platinum,Grocery,M,124274
6917,"Delhi, India",22-May-15,Silver,Fuel,M,159107
7966,"Bengaluru, India",22-May-15,Signature,Fuel,M,188634
11362,"Greater Mumbai, India",22-May-15,Signature,Bills,F,167094
11485,"Delhi, India",22-May-15,Gold,Fuel,F,9294
11651,"Ahmedabad, India",22-May-15,Gold,Food,M,156814
11653,"Ahmedabad, India",22-May-15,Silver,Grocery,F,202331
12251,"Ahmedabad, India",22-May-15,Gold,Grocery,F,189119
12302,"Greater Mumbai, India",22-May-15,Silver,Food,F,226206
12304,"Bengaluru, India",22-May-15,Silver,Fuel,M,42785
12437,"Ahmedabad, India",22-May-15,Signature,Food,F,91635
12525,"Ahmedabad, India",22-May-15,Silver,Food,M,82236
15797,"Jammu, India",22-May-15,Signature,Fuel,M,281633
16193,"Nagaon, India",22-May-15,Platinum,Bills,F,249535
16500,"Fatehpur Sikri, India",22-May-15,Silver,Fuel,F,202714
17541,"Udumalaipettai, India",22-May-15,Silver,Food,F,182795
19254,"Tezpur, India",22-May-15,Gold,Fuel,M,144278
19324,"Nadbai, India",22-May-15,Platinum,Food,F,161388
20228,"Pune, India",22-May-15,Platinum,Food,F,218270
22423,"Pune, India",22-May-15,Silver,Entertainment,F,151094
22621,"Kanpur, India",22-May-15,Gold,Bills,F,224717
23648,"Pune, India",22-May-15,Signature,Fuel,M,249698
24605,"Jaipur, India",22-May-15,Silver,Grocery,F,179239
24627,"Kolkata, India",22-May-15,Gold,Entertainment,F,192742
24712,"Pune, India",22-May-15,Platinum,Food,M,271362
24769,"Lucknow, India",22-May-15,Signature,Food,M,41082
25098,"Jaipur, India",22-May-15,Platinum,Bills,F,18931
25221,"Jaipur, India",22-May-15,Silver,Fuel,F,198725
1220,"Bengaluru, India",21-May-15,Silver,Entertainment,F,246364
1391,"Ahmedabad, India",21-May-15,Silver,Food,F,97311
2714,"Greater Mumbai, India",21-May-15,Gold,Bills,F,282591
3393,"Greater Mumbai, India",21-May-15,Platinum,Bills,M,295605
3563,"Greater Mumbai, India",21-May-15,Signature,Bills,F,195362
4609,"Delhi, India",21-May-15,Signature,Fuel,M,87608
5856,"Ahmedabad, India",21-May-15,Platinum,Entertainment,F,236808
5956,"Delhi, India",21-May-15,Platinum,Entertainment,M,27147
6574,"Ahmedabad, India",21-May-15,Platinum,Bills,M,89121
6598,"Bengaluru, India",21-May-15,Platinum,Entertainment,M,57021
6895,"Ahmedabad, India",21-May-15,Gold,Entertainment,M,48164
7605,"Greater Mumbai, India",21-May-15,Silver,Bills,F,160529
7748,"Bengaluru, India",21-May-15,Signature,Fuel,M,51810
8546,"Bengaluru, India",21-May-15,Signature,Grocery,M,253843
10198,"Bengaluru, India",21-May-15,Silver,Fuel,M,196891
11380,"Delhi, India",21-May-15,Silver,Entertainment,M,22157
11904,"Greater Mumbai, India",21-May-15,Silver,Fuel,F,182815
12960,"Delhi, India",21-May-15,Silver,Entertainment,M,270517
12988,"Greater Mumbai, India",21-May-15,Platinum,Bills,F,108490
13079,"Delhi, India",21-May-15,Signature,Entertainment,M,264263
13395,"Ahmedabad, India",21-May-15,Gold,Grocery,F,218781
13756,"Delhi, India",21-May-15,Gold,Food,F,49813
14121,"Limbdi, India",21-May-15,Silver,Entertainment,M,135822
14990,"Gobichettipalayam, India",21-May-15,Signature,Food,M,98320
15809,"Mokameh, India",21-May-15,Silver,Fuel,M,83186
16157,"Navi Mumbai, India",21-May-15,Signature,Grocery,M,277346
16378,"Murshidabad, India",21-May-15,Gold,Entertainment,F,212043
16974,"Pulgaon, India",21-May-15,Gold,Grocery,M,20698
17437,"Hazaribag, India",21-May-15,Signature,Bills,M,99880
19016,"Tiruchendur, India",21-May-15,Gold,Grocery,F,263547
19525,"Pernampattu, India",21-May-15,Platinum,Entertainment,F,254654
20149,"Kanpur, India",21-May-15,Platinum,Fuel,F,229216
20749,"Kolkata, India",21-May-15,Signature,Food,M,154119
21105,"Pune, India",21-May-15,Signature,Food,M,290388
21451,"Kolkata, India",21-May-15,Silver,Food,M,71428
21700,"Kanpur, India",21-May-15,Signature,Entertainment,F,263077
22111,"Pune, India",21-May-15,Signature,Fuel,M,279395
22323,"Pune, India",21-May-15,Signature,Bills,M,185258
22472,"Pune, India",21-May-15,Silver,Fuel,F,53876
22857,"Kolkata, India",21-May-15,Platinum,Food,M,78541
23139,"Surat, India",21-May-15,Silver,Grocery,M,41966
23437,"Hyderabad, India",21-May-15,Signature,Fuel,M,142518
25127,"Jaipur, India",21-May-15,Signature,Bills,M,269330
25570,"Kolkata, India",21-May-15,Signature,Travel,F,123657
129,"Greater Mumbai, India",20-May-15,Silver,Bills,F,567623
1630,"Greater Mumbai, India",20-May-15,Platinum,Grocery,M,219695
2268,"Bengaluru, India",20-May-15,Gold,Fuel,F,147453
2331,"Ahmedabad, India",20-May-15,Silver,Fuel,M,178406
2485,"Greater Mumbai, India",20-May-15,Silver,Fuel,F,262402
3131,"Delhi, India",20-May-15,Gold,Fuel,M,188252
3957,"Greater Mumbai, India",20-May-15,Signature,Food,F,130117
5985,"Ahmedabad, India",20-May-15,Gold,Entertainment,M,56381
6191,"Greater Mumbai, India",20-May-15,Platinum,Entertainment,F,170397
6894,"Greater Mumbai, India",20-May-15,Gold,Grocery,M,12558
6996,"Delhi, India",20-May-15,Signature,Grocery,F,206117
8152,"Bengaluru, India",20-May-15,Platinum,Bills,M,76488
8183,"Greater Mumbai, India",20-May-15,Platinum,Fuel,M,160508
8410,"Ahmedabad, India",20-May-15,Signature,Entertainment,M,76507
9066,"Bengaluru, India",20-May-15,Signature,Food,M,177816
9940,"Greater Mumbai, India",20-May-15,Signature,Grocery,M,282264
9995,"Bengaluru, India",20-May-15,Signature,Bills,M,186315
10242,"Ahmedabad, India",20-May-15,Silver,Entertainment,F,266801
10511,"Greater Mumbai, India",20-May-15,Platinum,Grocery,F,115842
11503,"Delhi, India",20-May-15,Silver,Fuel,M,32039
12503,"Ahmedabad, India",20-May-15,Signature,Food,M,51705
13798,"Delhi, India",20-May-15,Signature,Fuel,F,253725
15396,"Margao, India",20-May-15,Gold,Bills,M,246699
16294,"Rasra, India",20-May-15,Silver,Grocery,M,15292
17035,"Patti, India",20-May-15,Platinum,Grocery,M,253595
17109,"Terdal, India",20-May-15,Silver,Grocery,F,288676
17792,"Sibsagar, India",20-May-15,Signature,Grocery,M,15795
18047,"Chittoor, India",20-May-15,Signature,Fuel,M,298583
18136,"Tumkur, India",20-May-15,Silver,Bills,M,227218
18233,"Paradip, India",20-May-15,Silver,Bills,F,178035
18979,"Makrana, India",20-May-15,Platinum,Grocery,F,102289
19222,"Durg, India",20-May-15,Platinum,Bills,F,23514
19391,"Talcher, India",20-May-15,Platinum,Bills,F,72919
20182,"Pune, India",20-May-15,Platinum,Grocery,F,110618
20237,"Pune, India",20-May-15,Signature,Fuel,F,240237
23160,"Chennai, India",20-May-15,Signature,Grocery,F,297595
24083,"Lucknow, India",20-May-15,Silver,Fuel,F,225067
24855,"Pune, India",20-May-15,Platinum,Fuel,F,24880
25329,"Kolkata, India",20-May-15,Platinum,Travel,M,48020
25355,"Pune, India",20-May-15,Gold,Travel,M,16966
25434,"Pune, India",20-May-15,Signature,Travel,M,260353
228,"Bengaluru, India",19-May-15,Signature,Bills,F,977951
1803,"Greater Mumbai, India",19-May-15,Silver,Bills,F,29791
1846,"Greater Mumbai, India",19-May-15,Signature,Fuel,M,128081
5192,"Bengaluru, India",19-May-15,Silver,Food,M,165868
5534,"Delhi, India",19-May-15,Signature,Bills,M,188614
6146,"Delhi, India",19-May-15,Signature,Food,M,160968
6597,"Greater Mumbai, India",19-May-15,Silver,Grocery,F,220260
6610,"Ahmedabad, India",19-May-15,Signature,Entertainment,F,135992
7709,"Greater Mumbai, India",19-May-15,Platinum,Entertainment,F,193669
8439,"Ahmedabad, India",19-May-15,Silver,Bills,M,252754
8712,"Greater Mumbai, India",19-May-15,Silver,Food,M,74199
10042,"Delhi, India",19-May-15,Gold,Bills,M,272953
11028,"Delhi, India",19-May-15,Platinum,Food,M,154538
11392,"Delhi, India",19-May-15,Signature,Food,F,45521
11762,"Ahmedabad, India",19-May-15,Platinum,Entertainment,M,246733
11815,"Delhi, India",19-May-15,Signature,Entertainment,F,193645
13246,"Delhi, India",19-May-15,Signature,Fuel,F,260184
14267,"Nanjikottai, India",19-May-15,Silver,Food,M,88442
14497,"Seoni, India",19-May-15,Silver,Food,M,139712
15778,"Ashok Nagar, India",19-May-15,Silver,Grocery,F,270479
16140,"Dhoraji, India",19-May-15,Platinum,Food,F,166610
16802,"Vyara, India",19-May-15,Silver,Food,M,71234
17373,"Rajsamand, India",19-May-15,Gold,Grocery,F,296764
18367,"Dharmanagar, India",19-May-15,Platinum,Bills,F,285697
18497,"Mandvi, India",19-May-15,Silver,Entertainment,F,265618
18922,"Byasanagar, India",19-May-15,Platinum,Food,F,31453
19089,"Tirur, India",19-May-15,Silver,Entertainment,M,26094
19296,"Panaji, India",19-May-15,Gold,Bills,M,192543
19325,"Zira, India",19-May-15,Platinum,Entertainment,M,190358
20148,"Hyderabad, India",19-May-15,Silver,Grocery,M,192063
20392,"Jaipur, India",19-May-15,Signature,Fuel,F,48428
20587,"Kolkata, India",19-May-15,Signature,Food,F,251675
20733,"Kolkata, India",19-May-15,Gold,Food,F,2820
21808,"Jaipur, India",19-May-15,Gold,Grocery,F,72622
21996,"Hyderabad, India",19-May-15,Gold,Grocery,M,193732
22964,"Lucknow, India",19-May-15,Silver,Fuel,F,112842
23760,"Kanpur, India",19-May-15,Silver,Food,M,138848
23833,"Kanpur, India",19-May-15,Signature,Entertainment,M,212581
24843,"Pune, India",19-May-15,Gold,Fuel,F,54339
26038,"Surat, India",19-May-15,Gold,Travel,M,269464
807,"Delhi, India",18-May-15,Silver,Bills,F,139246
1562,"Delhi, India",18-May-15,Platinum,Food,F,120532
2636,"Delhi, India",18-May-15,Platinum,Fuel,F,253259
2641,"Greater Mumbai, India",18-May-15,Signature,Fuel,M,77699
3311,"Greater Mumbai, India",18-May-15,Gold,Bills,F,221489
3416,"Delhi, India",18-May-15,Gold,Food,M,65357
4290,"Delhi, India",18-May-15,Signature,Fuel,M,1678
4566,"Bengaluru, India",18-May-15,Silver,Fuel,F,119664
5916,"Ahmedabad, India",18-May-15,Platinum,Fuel,M,95552
6284,"Delhi, India",18-May-15,Platinum,Entertainment,M,273727
6639,"Delhi, India",18-May-15,Platinum,Fuel,F,211941
7059,"Greater Mumbai, India",18-May-15,Gold,Bills,F,28085
7091,"Bengaluru, India",18-May-15,Gold,Bills,M,30854
7677,"Bengaluru, India",18-May-15,Gold,Fuel,F,116470
7738,"Ahmedabad, India",18-May-15,Signature,Grocery,M,159330
7875,"Delhi, India",18-May-15,Silver,Bills,M,87461
8414,"Delhi, India",18-May-15,Gold,Grocery,F,146198
8899,"Ahmedabad, India",18-May-15,Platinum,Entertainment,F,204641
8905,"Bengaluru, India",18-May-15,Gold,Grocery,M,223891
8929,"Delhi, India",18-May-15,Signature,Food,F,16285
10238,"Bengaluru, India",18-May-15,Platinum,Entertainment,F,148425
10833,"Greater Mumbai, India",18-May-15,Silver,Grocery,M,14222
11051,"Delhi, India",18-May-15,Signature,Bills,M,53081
11589,"Delhi, India",18-May-15,Platinum,Grocery,M,6871
11648,"Delhi, India",18-May-15,Platinum,Entertainment,F,295780
12499,"Greater Mumbai, India",18-May-15,Platinum,Entertainment,M,104683
14097,"Murwara (Katni), India",18-May-15,Gold,Food,F,152062
14392,"Usilampatti, India",18-May-15,Platinum,Grocery,M,76856
14403,"Ratnagiri, India",18-May-15,Silver,Fuel,F,199825
14884,"Nathdwara, India",18-May-15,Silver,Food,M,1707
15267,"Thiruvananthapuram, India",18-May-15,Signature,Food,F,130382
15575,"Sunabeda, India",18-May-15,Signature,Bills,F,219759
15686,"Rudrapur, India",18-May-15,Gold,Food,F,157681
16810,"Thanjavur, India",18-May-15,Signature,Grocery,F,97600
17071,"Arvi, India",18-May-15,Signature,Food,M,58336
17512,"Patratu, India",18-May-15,Signature,Food,M,130902
17749,"Vellakoil, India",18-May-15,Platinum,Food,M,221626
18399,"Thiruvananthapuram, India",18-May-15,Gold,Grocery,F,212271
18666,"Bhiwani, India",18-May-15,Platinum,Entertainment,F,98053
21480,"Kanpur, India",18-May-15,Gold,Food,F,88395
21835,"Chennai, India",18-May-15,Signature,Grocery,F,167611
22159,"Jaipur, India",18-May-15,Signature,Grocery,M,246514
22383,"Jaipur, India",18-May-15,Silver,Food,M,86699
23140,"Jaipur, India",18-May-15,Signature,Bills,F,67251
23226,"Pune, India",18-May-15,Platinum,Fuel,M,129212
24577,"Chennai, India",18-May-15,Silver,Entertainment,M,3356
25005,"Lucknow, India",18-May-15,Signature,Bills,F,211555
25144,"Chennai, India",18-May-15,Gold,Fuel,F,24703
25750,"Hyderabad, India",18-May-15,Platinum,Travel,M,168318
336,"Bengaluru, India",17-May-15,Silver,Bills,F,792440
2101,"Delhi, India",17-May-15,Silver,Fuel,M,64336
2923,"Bengaluru, India",17-May-15,Silver,Fuel,F,112053
4225,"Greater Mumbai, India",17-May-15,Silver,Food,F,105753
5387,"Bengaluru, India",17-May-15,Platinum,Grocery,F,278444
6388,"Ahmedabad, India",17-May-15,Silver,Entertainment,F,60875
6962,"Delhi, India",17-May-15,Signature,Food,M,139318
6980,"Bengaluru, India",17-May-15,Platinum,Fuel,F,190699
7604,"Ahmedabad, India",17-May-15,Silver,Food,F,86813
8115,"Bengaluru, India",17-May-15,Silver,Food,M,163129
8232,"Ahmedabad, India",17-May-15,Signature,Entertainment,F,125449
9590,"Bengaluru, India",17-May-15,Platinum,Food,F,275728
10227,"Delhi, India",17-May-15,Platinum,Grocery,M,137032
10750,"Delhi, India",17-May-15,Platinum,Fuel,M,2948
10865,"Delhi, India",17-May-15,Silver,Grocery,M,62831
11874,"Bengaluru, India",17-May-15,Platinum,Fuel,F,64993
13014,"Greater Mumbai, India",17-May-15,Gold,Bills,F,24467
14295,"Sidlaghatta, India",17-May-15,Signature,Bills,M,70662
14902,"Guntur, India",17-May-15,Platinum,Bills,M,256813
14979,"Peddapuram, India",17-May-15,Platinum,Fuel,M,108651
15020,"Paravoor, India",17-May-15,Platinum,Food,F,282153
16070,"Puttur, India",17-May-15,Silver,Fuel,F,137050
16744,"Sircilla, India",17-May-15,Silver,Grocery,M,172697
16843,"Sundargarh, India",17-May-15,Silver,Grocery,F,133643
18671,"Munger, India",17-May-15,Signature,Fuel,F,96116
19139,"Manwath, India",17-May-15,Silver,Grocery,M,30190
20096,"Pune, India",17-May-15,Platinum,Grocery,F,63630
20862,"Kolkata, India",17-May-15,Platinum,Fuel,M,244037
21325,"Hyderabad, India",17-May-15,Signature,Fuel,M,228545
21780,"Kolkata, India",17-May-15,Signature,Fuel,F,56502
21917,"Kanpur, India",17-May-15,Gold,Fuel,F,178618
22416,"Pune, India",17-May-15,Gold,Fuel,F,272040
23460,"Chennai, India",17-May-15,Signature,Grocery,M,221691
23706,"Jaipur, India",17-May-15,Platinum,Food,F,78680
23879,"Surat, India",17-May-15,Gold,Food,F,145049
24460,"Kanpur, India",17-May-15,Signature,Bills,M,148369
25773,"Lucknow, India",17-May-15,Silver,Travel,F,299618
683,"Greater Mumbai, India",16-May-15,Gold,Food,F,95081
1589,"Bengaluru, India",16-May-15,Silver,Food,M,241280
1778,"Bengaluru, India",16-May-15,Gold,Grocery,M,233351
